date,price_usd,inr_per_usd,gold_price_inr,fed_intrest_rate,inflation_yoy,gold_return_1d,inr_change_1d,gold_inr_return_1d
1987-06-01,451.1,12.8368,5790.68048,6.73,3.7477148080438782,-0.11071744906997472,1.3484920258961086,1.2362815608541355
1987-07-01,451.3,13.0126,5872.586380000001,6.58,3.926940639269394,0.04433606739082663,1.3695001869624912,1.4144434368791314
1987-08-01,437.6,13.0852,5726.08352,6.73,4.2883211678832245,-3.035674717482828,0.5579207844704337,-2.494690593210147
1987-09-01,431.3,12.9933,5604.01029,7.22,4.2727272727272725,-1.4396709323583168,-0.7023201785223088,-2.131880011418341
1987-10-01,413.5,13.0429,5393.239149999999,7.29,4.355716878402904,-4.127057732436823,0.3817352019887199,-3.7610769626192253
1987-11-01,406.8,12.9721,5277.0502799999995,6.69,4.528985507246386,-1.6203143893591232,-0.5428240652002203,-2.1543429981220052
1987-12-01,420.2,12.9345,5435.0769,6.77,4.332129963898912,3.2940019665683273,-0.28985283801388206,2.9946013703701313
1988-01-01,419.1,13.0395,5464.854450000001,6.83,4.129263913824044,-0.2617801047120283,0.8117824423054643,0.5478772526659403
1988-02-01,404.0,13.065,5278.26,6.58,3.935599284436497,-3.6029587210689606,0.19555964569193396,-3.4144450086863842
1988-03-01,387.5,12.9791,5029.40125,6.58,3.832442067736186,-4.084158415841587,-0.6574818216609213,-4.714787638350526
1988-04-01,390.2,13.1576,5134.09552,6.87,3.9929015084294575,0.6967741935483884,1.375287962955829,2.081644808117078
1988-05-01,384.4,13.3157,5118.555079999999,7.09,3.9823008849557473,-1.486417221937475,1.2015869155469039,-0.30269090123981046
1988-06-01,371.1,13.7859,5115.9474900000005,7.51,3.96475770925111,-3.4599375650364084,3.5311699722883505,-0.05094386910453608
1988-07-01,367.6,14.0795,5175.6242,7.75,4.130052724077338,-0.943142010239828,2.1297122422184955,1.1664840211250915
1988-08-01,375.0,14.217,5331.375,8.01,4.111986001749779,2.013057671381935,0.9765971802976114,3.0093143161360025
1988-09-01,365.1,14.4895,5290.11645,8.19,4.184829991281602,-2.639999999999998,1.916719420412183,-0.7738819722866941
1988-10-01,361.8,14.72,5325.696000000001,8.3,4.260869565217407,-0.9038619556285932,1.590807136202077,0.6725664800819375
1988-11-01,366.9,14.966,5491.0253999999995,8.35,4.246100519930662,1.4096185737976663,1.6711956521739069,3.1043717102891
1988-12-01,394.3,15.019,5921.9917000000005,8.76,4.41176470588236,7.467974925047716,0.3541360416945194,7.848557757536523
1989-01-01,409.4,15.0925,6178.8695,9.12,4.482758620689653,3.829571392340858,0.48938011851653584,4.337692671875915
1989-02-01,410.1,15.2405,6250.1290500000005,9.36,4.647160068846801,0.1709819247679656,0.980619513003167,1.1532781198891007
1989-03-01,416.8,15.4674,6446.81232,9.85,4.892703862660941,1.6337478663740468,1.4887962993340054,3.146867343483084
1989-04-01,393.1,15.718,6178.745800000001,9.84,5.034129692832767,-5.686180422264875,1.620181801724918,-4.158125080954733
1989-05-01,374.2,16.1018,6025.29356,9.81,5.276595744680845,-4.807936911727307,2.4417864868303996,-2.4835499787028037
1989-06-01,369.1,16.4195,6060.43745,9.53,5.16949152542372,-1.3629075360769516,1.9730713336397088,0.5832726596644022
1989-07-01,352.3,16.416,5783.3568000000005,9.24,5.063291139240511,-4.551612029260365,-0.021316118030378917,-4.571957920298308
1989-08-01,362.5,16.6091,6020.798750000001,8.99,4.621848739495804,2.8952597218279807,1.1762914230019517,4.105607836611425
1989-09-01,394.7,16.745,6609.2515,9.02,4.435146443514637,8.882758620689657,0.8182261531329171,9.773665827976718
1989-10-01,389.3,16.819,6547.6367,8.84,4.587155963302747,-1.3681276919179086,0.4419229620782117,-0.9322508002608254
1989-11-01,380.7,16.9248,6443.271360000001,8.55,4.655029093931851,-2.209093244284621,0.6290504786253814,-1.5939390772856887
